#{"t_start": 1639959926.4372768, "env_id": null}
r,l,t
90.603653,1001,8432.446952
92.600021,1001,8444.520656
35.120716,416,8451.182836
81.239341,879,8461.791461
91.019282,1001,8473.844218
66.249056,743,8482.863094
45.794403,552,8489.725737
94.318547,1001,8503.598628
53.81983,605,8511.010802
90.641343,975,8522.742419
80.898873,879,8533.272254
43.576043,494,8539.440754
57.397246,647,8547.33364
33.133632,407,8553.984849
55.836735,626,8561.702208
94.180387,1001,8573.725046
36.875005,426,8579.011904
92.583848,1001,8590.87916
41.472237,480,8596.777383
55.655068,621,8605.85909
93.407362,1001,8617.687451
93.782279,1001,8629.932695
91.549249,1001,8641.893701
92.591827,1001,8655.589067
91.633688,1001,8667.691192
90.575996,1001,8679.69209
93.058291,1001,8691.536409
84.284728,935,8703.303932
33.188391,410,8709.963118
94.31998,1001,8721.96302
91.7921,1001,8733.95195
93.106083,1001,8745.917942
94.054828,1001,8759.568428
91.768836,1001,8771.822648
93.937945,1001,8783.768694
93.137428,1001,8795.737717
44.683495,516,8802.137559
82.501636,909,8814.419705
92.142209,1001,8826.681906
93.835498,1001,8838.739653
37.9815,441,8844.139208
82.179966,915,8855.151787
93.625813,1001,8868.623715
50.079781,579,8875.85537
93.932152,1001,8887.73962
90.267903,970,8899.444303
91.838667,1001,8912.770684
92.884105,1001,8924.708692
52.082802,590,8931.968273
94.146318,1001,8943.973161
92.251421,1001,8955.717746
93.416077,1001,8969.410119
91.980385,1001,8981.275382
75.827103,828,8991.221775
92.72934,1001,9002.858647
89.09195,977,9015.798035
89.966757,1001,9028.095143
93.709597,1001,9040.062131
88.548974,952,9051.374871
92.449757,1001,9064.737129
34.699639,413,9069.917273
91.771344,1001,9081.617973
41.709989,483,9087.640862
88.117341,958,9099.340568
91.274915,1001,9112.684872
91.83025,1001,9124.566091
59.135376,655,9132.46297
49.526375,550,9139.274747
93.248869,1001,9151.207827
91.303138,1001,9165.038831
93.42829,1001,9176.963931
56.198061,622,9184.575572
91.902392,1001,9196.320155
94.015628,1001,9208.382889
64.522266,702,9218.49085
92.950699,1001,9230.938554
53.852499,592,9238.172244
93.624637,1001,9250.056415
23.830338,307,9254.0996
93.298466,1001,9267.501791
60.356702,670,9275.751723
89.496662,973,9287.634913
35.518193,415,9292.948682
42.028222,492,9299.015485
60.033958,674,9307.17267
