#{"t_start": 1640660537.5527205, "env_id": null}
r,l,t
91.123756,1001,19882.035929
95.49957,1001,19916.996413
93.416274,1001,19951.773388
94.28935,1001,19986.73088
93.035591,1001,20021.494889
93.261452,1001,20056.629919
93.821025,1001,20091.323106
75.995431,1001,20126.128005
93.546569,1001,20160.674596
92.507486,1001,20195.720851
89.9868,1001,20230.299357
81.461471,1001,20265.47626
94.168549,1001,20300.100644
90.326281,1001,20335.212723
86.718867,1001,20370.012635
88.428361,1001,20405.039939
88.820935,1001,20439.963009
80.808042,1001,20474.682139
80.408073,1001,20509.758312
85.776036,1001,20544.423586
55.325094,653,20567.337293
88.222442,1001,20601.998577
91.352217,1001,20637.244326
91.736049,1001,20671.881647
93.207777,1001,20706.986779
89.210051,1001,20741.65501
93.428887,1001,20776.726196
90.760291,1001,20811.224915
91.068277,1001,20846.148498
93.004072,1001,20880.777867
90.192629,1001,20915.887951
94.396397,1001,20950.496377
93.540657,1001,20985.506726
91.922242,1001,21020.07127
91.570448,1001,21054.75649
0.190511,25,21056.20661
92.485862,1001,21090.9038
92.753488,1001,21125.700721
71.869868,782,21153.017717
94.141797,1001,21187.687911
87.74991,1001,21222.303317
87.37917,1001,21257.342589
93.626668,1001,21292.111586
92.695921,1001,21327.056112
84.197904,1001,21362.182153
77.223482,833,21391.097806
93.414469,1001,21426.019393
92.493435,1001,21460.814321
86.502377,1001,21495.946517
87.721558,1001,21530.817221
94.004003,1001,21565.985149
43.260617,1001,21601.123158
92.328805,1001,21636.20033
88.026397,962,21669.536159
89.162856,1001,21704.766921
90.584156,1001,21739.879996
95.221871,1001,41121.995429
94.173039,1001,41162.001217
94.756043,1001,41198.277184
90.871271,1001,41233.134941
96.156876,1001,41268.585115
91.446468,1001,41303.49274
3.660697,111,41307.835124
91.316459,1001,41342.512367
92.195794,1001,41377.469858
91.140575,1001,41413.917364
89.877835,1001,41448.678381
91.082628,1001,41483.841324
92.73022,1001,41518.87561
88.964911,1001,41554.406567
87.108918,1001,41589.07982
92.535657,1001,41624.016368
96.499692,1001,41658.490154
91.567341,1001,41693.402961
95.190901,1001,41728.459188
92.147708,1001,41763.414685
95.133575,1001,41798.182684
94.416823,1001,41833.051414
91.987289,1001,41867.708708
93.021244,1001,41902.538541
95.862267,1001,41937.51997
89.891666,1001,41972.345813
